"WT" "1" "2"
"1" 0 27616 28126
"2" 5013 1 0
"3" 0 28343 27835
"4" 4878 0 0
"5" 5106 1 0
"6" 0 28135 27867
"7" 0 27122 27660
"8" 0 55198 0
"9" 0 27888 28024
"10" 4768 352 1
"11" 0 56416 0
"12" 0 0 18956
"13" 0 0 18468
"14" 0 55765 0
"15" 0 27004 27715
"16" 5030 0 0
"17" 0 0 18332
"18" 0 0 18460
"19" 0 0 18446
"20" 0 27379 27578
"21" 0 27622 27683
"22" 0 28146 28023
"23" 0 55997 0
"24" 0 27538 27449
"25" 0 27289 27525
"26" 0 27735 27924
"27" 5005 1 2
"28" 5111 0 0
"29" 0 55297 0
"30" 5002 0 52
"31" 0 27416 27565
"32" 0 0 18602
"33" 4911 1 127
"34" 0 0 18862
"35" 0 27328 27787
"36" 5009 0 1
"37" 0 55942 0
"38" 0 55549 0
"39" 0 27317 28465
"40" 0 28653 27685
"41" 0 56447 0
"42" 0 55580 0
"43" 0 27478 27782
"44" 0 28458 27713
"45" 0 28068 27748
"46" 0 27545 27581
"47" 0 55700 0
"48" 0 26921 27699
"49" 0 54951 0
"50" 0 28334 27703
"51" 0 0 18481
"52" 4913 0 0
"53" 0 55609 0
"54" 0 55451 0
"55" 0 0 18318
"56" 0 27987 27768
"57" 0 0 18402
"58" 0 56558 0
"59" 0 55619 0
"60" 0 28157 28023
"61" 0 0 18686
"62" 0 27654 27835
"63" 0 27214 28033
"64" 5103 0 0
"65" 0 0 18544
"66" 0 54768 0
"67" 4834 0 0
"68" 0 55212 0
"69" 4855 0 178
"70" 0 54545 0
"71" 0 55119 0
"72" 0 55132 0
"73" 0 55447 0
"74" 0 0 18733
"75" 4848 237 0
"76" 0 26481 27630
"77" 0 0 18504
"78" 0 54774 0
"79" 4848 0 0
"80" 0 0 18115
"81" 4916 0 0
"82" 5037 0 0
"83" 0 55212 0
"84" 5003 0 0
"85" 4905 1 0
"86" 0 28773 27790
"87" 0 28117 27343
"88" 4880 44 0
"89" 0 56290 0
"90" 0 55335 0
"91" 5186 0 0
"92" 0 27727 27755
"93" 0 28190 27605
"94" 0 55006 0
"95" 0 55317 0
"96" 0 0 18820
"97" 0 55386 0
"98" 0 55841 0
"99" 5040 0 0
"100" 0 55911 0
