"" "1" "2"
"1" 5054 92 0
"2" 4612 0 598
"3" 0 0 18537
"4" 0 0 18683
"5" 4988 0 8
"6" 5097 0 0
"7" 0 0 18767
"8" 0 0 18442
"9" 4968 3 0
"10" 5010 0 0
"11" 5048 0 0
"12" 4877 0 0
"13" 0 0 19038
"14" 4925 0 0
"15" 5014 2 0
"16" 4994 0 0
"17" 0 0 18472
"18" 0 0 18419
"19" 5029 0 0
"20" 0 0 18559
"21" 0 0 18532
"22" 0 0 18424
"23" 0 0 18434
"24" 0 0 18866
"25" 5049 0 0
"26" 0 0 18529
"27" 0 0 18586
"28" 0 0 18913
"29" 4848 0 4
"30" 0 0 18404
"31" 0 0 18481
"32" 5092 0 0
"33" 4942 0 73
"34" 3931 0 1452
"35" 0 0 18577
"36" 5100 0 0
"37" 0 0 18509
"38" 0 0 18319
"39" 4999 1 0
"40" 0 0 18762
"41" 0 0 18698
"42" 5056 11 0
"43" 5093 12 0
"44" 5061 0 0
"45" 0 0 18668
"46" 0 0 18765
"47" 5067 41 15
"48" 0 0 18729
"49" 5123 0 0
"50" 0 0 18617
"51" 0 0 18410
"52" 4765 3 0
"53" 0 0 18439
"54" 5122 0 0
"55" 4948 0 51
"56" 0 0 18678
"57" 0 0 18705
"58" 4937 0 0
"59" 4854 0 15
"60" 0 0 18728
"61" 5137 0 3
"62" 0 0 18521
"63" 0 0 18177
"64" 4956 0 100
"65" 0 0 18333
"66" 5060 0 7
"67" 4984 0 0
"68" 4728 0 0
"69" 0 0 18540
"70" 5113 0 0
"71" 5152 0 0
"72" 4934 0 5
"73" 4868 6 0
"74" 4868 0 0
"75" 5055 0 1
"76" 0 0 18162
"77" 0 0 18606
"78" 0 0 18572
"79" 1 0 18486
"80" 5125 0 0
"81" 0 0 18652
"82" 0 0 18505
"83" 0 0 18945
"84" 0 0 18456
"85" 0 0 18679
"86" 4901 0 0
"87" 5058 0 0
"88" 0 0 18488
"89" 0 0 18585
"90" 4935 0 0
"91" 0 0 18513
"92" 4982 0 0
"93" 4926 0 6
"94" 0 0 18806
"95" 4990 0 0
"96" 4968 0 2
"97" 0 0 18380
"98" 0 0 18645
"99" 4928 2 4
"100" 0 0 18626
