"" "A" "B" "C"
"1" 0 0 156339 0
"2" 0 0 156277 0
"3" 0 0 155282 0
"4" 0 0 0 18428
"5" 0 0 155994 0
"6" 5057 0 0 0
"7" 0 0 0 18140
"8" 0 0 157172 0
"9" 0 0 155395 0
"10" 0 0 156552 0
"11" 0 0 0 18348
"12" 0 0 155372 0
"13" 0 0 157171 0
"14" 0 0 0 18598
"15" 0 0 155153 0
"16" 0 0 155357 0
"17" 5072 0 0 0
"18" 0 0 156109 0
"19" 0 0 0 18785
"20" 0 428668 0 0
"21" 0 430529 0 0
"22" 0 0 156455 0
"23" 0 0 155521 0
"24" 0 0 157309 0
"25" 0 427780 0 0
"26" 0 0 157038 0
"27" 5013 8 0 1
"28" 0 59543 0 48868
"29" 0 360312 0 16156
"30" 0 0 156265 0
"31" 5112 0 0 2
"32" 5111 0 0 0
"33" 0 0 155952 0
"34" 0 429299 0 0
"35" 0 0 157106 0
"36" 0 0 155698 0
"37" 0 0 156295 0
"38" 0 0 155694 0
"39" 0 0 155391 0
"40" 0 0 0 18601
"41" 0 0 157180 0
"42" 5051 0 0 0
"43" 0 427199 0 0
"44" 0 0 156070 0
"45" 0 431070 0 0
"46" 0 0 155877 0
"47" 0 0 0 18545
"48" 0 0 156630 0
"49" 4930 0 0 0
"50" 0 428860 0 0
"51" 0 0 156466 0
"52" 0 15199 0 35068
"53" 5071 0 2 0
"54" 0 253346 0 38383
"55" 0 428589 0 0
"56" 0 429010 0 0
"57" 0 431060 0 0
"58" 0 427613 0 0
"59" 0 0 155509 0
"60" 0 429771 0 0
"61" 0 0 156062 0
"62" 4862 0 2 0
"63" 0 38244 0 44203
"64" 0 0 156104 0
"65" 0 425432 0 0
"66" 0 0 155699 0
"67" 0 0 154751 0
"68" 0 0 0 18827
"69" 4949 0 5 1
"70" 0 75627 0 50069
"71" 0 0 157743 0
"72" 0 430197 0 NA
"73" 0 0 155096 0
"74" 0 431283 0 0
"75" 4964 0 0 0
"76" 4992 0 15 0
"77" 0 0 155185 0
"78" 0 0 156476 0
"79" 0 0 156078 0
"80" 0 430279 0 0
"81" 0 0 155236 0
"82" 0 0 156538 0
"83" 0 0 0 18733
"84" 0 0 0 18634
"85" 0 0 156765 0
"86" 0 313855 0 26244
"87" 0 0 0 18388
"88" 0 0 156731 0
"89" 0 432087 0 0
"90" 0 0 155233 0
"91" 0 0 155955 0
"92" 0 0 155774 0
"93" 0 431181 0 0
"94" 0 0 156669 0
"95" 0 428175 0 0
"96" 5095 0 0 0
"97" 0 0 155751 0
"98" 0 430191 0 0
"99" 0 0 156410 0
"100" 0 429467 0 0
