"" "A" "B" "C"
"1" 4892 0 0 0
"2" 0 0 157279 0
"3" 0 0 155114 0
"4" 0 0 156749 0
"5" 0 0 0 18679
"6" 0 0 0 18709
"7" 0 0 155685 0
"8" 0 0 155921 0
"9" 0 0 155984 0
"10" 0 0 0 18392
"11" 0 0 156678 0
"12" 0 0 155863 0
"13" 0 0 156649 0
"14" 4880 3 0 2
"15" 0 0 155655 0
"16" 0 0 155829 0
"17" 0 0 155361 0
"18" 0 0 155862 0
"19" 0 0 155576 0
"20" 0 0 156160 0
"21" 0 0 154142 0
"22" 0 0 155216 0
"23" 0 0 154859 0
"24" 0 155344 0 0
"25" 0 156770 0 0
"26" 0 0 0 18698
"27" 0 0 0 18699
"28" 0 154899 0 0
"29" 0 156912 0 0
"30" 0 154972 0 0
"31" 0 0 154872 0
"32" 0 0 155820 0
"33" 0 0 154893 0
"34" 0 156700 0 0
"35" 0 0 156659 0
"36" 0 0 156490 0
"37" 0 0 0 18338
"38" 0 0 154755 0
"39" 0 0 157534 0
"40" 0 0 157094 0
"41" 0 0 156638 0
"42" 0 0 156649 0
"43" 0 0 157057 0
"44" 0 157028 0 0
"45" 0 0 154696 0
"46" 0 0 155307 0
"47" 0 156137 0 0
"48" 0 0 0 18721
"49" 0 0 0 18758
"50" 0 0 155058 0
"51" 0 0 157040 0
"52" 0 0 0 18986
"53" 0 0 0 18572
"54" 0 0 156148 0
"55" 0 0 0 18639
"56" 0 0 0 18631
"57" 0 156168 0 0
"58" 0 0 156495 0
"59" 0 0 155571 0
"60" 0 0 156662 0
"61" 0 155920 0 0
"62" 0 0 157338 0
"63" 0 0 155729 0
"64" 0 0 0 18469
"65" 0 0 0 18908
"66" 0 156057 0 0
"67" 0 0 0 18460
"68" 0 0 0 18488
"69" 0 0 157098 0
"70" 0 0 154254 0
"71" 0 0 0 18560
"72" 0 0 155978 0
"73" 0 0 156227 0
"74" 0 0 0 18684
"75" 0 0 155621 0
"76" 0 0 0 18489
"77" 0 0 155554 0
"78" 0 0 0 18443
"79" 0 0 0 18118
"80" 0 0 0 18313
"81" 4933 0 0 0
"82" 0 0 156026 0
"83" 5052 0 0 5
"84" 0 0 155617 0
"85" 0 0 0 17983
"86" 5029 0 8 0
"87" 0 0 0 18365
"88" 5082 0 0 0
"89" 0 156410 0 0
"90" 0 155932 0 0
"91" 0 0 155838 0
"92" 0 0 156581 0
"93" 0 0 156206 0
"94" 0 0 156136 0
"95" 5039 0 0 0
"96" 0 155870 0 0
"97" 0 0 154614 0
"98" 0 0 0 18740
"99" 0 0 156176 0
"100" 0 0 156133 0
