2 2 2 2 2 2
0 0 0 0 0 0 1
1 0 0 0 0 0 2.34039552497919
0 1 0 0 0 0 1e-09
0 0 1 0 0 0 1e-09
0 0 0 1 0 0 1e-09
0 0 0 0 1 0 0.657770790307087
0 0 0 0 0 1 1.88427384704856
1 1 0 0 0 0 2.09586185800929
1 0 1 0 0 0 1e-09
1 0 0 1 0 0 1e-09
1 0 0 0 1 0 3.65987793844369
1 0 0 0 0 1 4.6971426329417
0 1 1 0 0 0 1e-09
0 1 0 1 0 0 1e-09
0 1 0 0 1 0 0.96936153703072
0 1 0 0 0 1 1.71517064352644
0 0 1 1 0 0 1e-09
0 0 1 0 1 0 1e-09
0 0 1 0 0 1 1e-09
0 0 0 1 1 0 1.04318788527782
0 0 0 1 0 1 0.567875875935781
0 0 0 0 1 1 6.30293688511023
1 1 1 0 0 0 1e-09
1 1 0 1 0 0 1e-09
1 1 0 0 1 0 0.812793869325097
1 1 0 0 0 1 1.38255230394342
1 0 1 1 0 0 1e-09
1 0 1 0 1 0 2.07322957044624
1 0 1 0 0 1 1.59007320246397
1 0 0 1 1 0 3.05256937688863
1 0 0 1 0 1 2.87658191763305
1 0 0 0 1 1 6.12919271514054
0 1 1 1 0 0 1e-09
0 1 1 0 1 0 1e-09
0 1 1 0 0 1 1e-09
0 1 0 1 1 0 1e-09
0 1 0 1 0 1 1e-09
0 1 0 0 1 1 2.89401897344095
0 0 1 1 1 0 1e-09
0 0 1 1 0 1 1e-09
0 0 1 0 1 1 1.54735570386142
0 0 0 1 1 1 1.72141780353999
1 1 1 1 0 0 1e-09
1 1 1 0 1 0 1e-09
1 1 1 0 0 1 0.82690902022736
1 1 0 1 1 0 1.57756624667929
1 1 0 1 0 1 0.0920805030183649
1 1 0 0 1 1 4.91893946099773
1 0 1 1 1 0 0.596891253026788
1 0 1 1 0 1 1e-09
1 0 1 0 1 1 3.23060607631017
1 0 0 1 1 1 5.53861230899503
0 1 1 1 1 0 1e-09
0 1 1 1 0 1 1e-09
0 1 1 0 1 1 1e-09
0 1 0 1 1 1 1e-09
0 0 1 1 1 1 1e-09
1 1 1 1 1 0 1e-09
1 1 1 1 0 1 1e-09
1 1 1 0 1 1 1.5907386370262
1 1 0 1 1 1 3.63815548574559
1 0 1 1 1 1 1.96489540946984
0 1 1 1 1 1 1e-09
1 1 1 1 1 1 1e-09
